filename,contours
images/d33bdbc4-1c20-4def-86bc-23b794b70e17.png,3
images/7158497f-3f55-4c52-be25-97e58d63c0ac.png,3
images/993b74f4-66c7-4a28-88ad-140161cabd0b.png,4
images/76653bfe-34f8-4be2-8533-a6096aa02dd4.png,4
images/f32f366b-0f97-4c5a-a6eb-ce27f7c5bbb0.png,10
images/d0373f57-f8a7-4d8d-8cd2-896ec0571ae7.png,6
images/6ac8ff37-ede0-4351-93f2-bb8f74533b84.png,5
images/99f817f3-ed48-4a5e-896e-1b26c8927486.png,6
images/a1bde176-f259-492e-b55b-479396be6b10.png,6
images/e1775fbc-fe7c-4b4a-ab6a-8906a6093445.png,5
images/d6d65330-b912-4605-9720-a545c41aa84a.png,4
images/bbc816ae-332f-4348-94ad-995a1e588918.png,3
images/52bb242e-ef87-4ee9-96d5-f272fb15c5dc.png,5
images/b238faa2-b34f-490d-9059-67a35946b977.png,5
images/d31f029f-edf8-43aa-8fca-635cc56429ee.png,3
images/c726c447-27a6-4d95-81a1-4c6b36a75da9.png,5
images/9f9176b8-e5a6-4f84-a81a-df76a5bf74dc.png,8
