filename,distance
images/feff3a75-de26-451b-94af-1a9bec34876d.png,342.3127
images/e63f4c78-0756-48b2-91a1-dd249ec57684.png,386.29
images/1dff7734-1951-467b-a3ba-d552618fa57d.png,127.914
images/1d7fb131-f580-4889-bf94-f5369e91e92d.png,244.6262
images/51af03df-bd6a-4700-ab25-9f30f2e12204.png,238.296
images/ffe4a862-4c2a-4d84-982b-47a74c1d7b1c.png,282.6818
images/3a297318-c716-4966-ba20-3131ab301c51.png,197.0913
images/e6362592-6534-48f6-9853-9f7422363910.png,204.6876
images/7b6b390e-b69d-4288-9143-280b53a1e3b8.png,201.3579
images/e73dee2a-485f-4dca-8c94-27156b0509c5.png,152.0526
images/d3961930-b0cd-4532-b983-4134559eea46.png,240.4205
images/c05996e6-b1d2-45ae-bb9f-88baddb1fb98.png,146.9966
images/53f97756-701d-4362-99eb-4d1692c6ee79.png,229.445
images/912faff5-35e4-4d4e-96bb-255507729411.png,84.4334
images/3adf2d26-f799-49ff-ad78-b9330c7884dc.png,169.071
images/8003aaea-0822-406c-a9cd-fab9779fad15.png,237.6931
images/8f5af001-cef0-487c-932f-2f3ff10f1caa.png,199.542
images/1c3b4119-11ad-4f2f-9573-5e3afa5fdd09.png,152.0691
images/2ab30cd5-6306-4d3d-9efa-787a80c4af95.png,293.6205
images/39042c04-deae-46ae-bce3-6e36d8ed20b6.png,261.0211
